0,Age,Gender,Religion,Occupation,Country and city of residence,1.1 Do you think religion provides the complete code of conduct of a person’s life?,1.2 Do you think religious freedom is everyone’s right? ,1.3 Do you believe that religious freedom (the freedom to practice religion) is guaranteed to all individuals in the place where you reside? ,1.4 Do you think people who wear modest clothes appear to be more moral.,2.1 Do you believe that individuals who regularly use drugs or consume alcohol are positive contributing members of the society?,2.2 Would you have a positive or a negative reaction towards such members?,"2.3 Women, transgenders, minorities are given equal rights in the society you live in.","2.4 Patriarchy is a social system in which men hold primary power and predominate in roles of moral authority.

Were you aware of the term patriarchy before reading this definition?",2.5 Do you believe patriarchy is a necessary/effective type of social system?,"2.6 If you live in Pakistan, do you think Aurat March has negatively targeted the moral values of our society?",2.7 How do you think your moral values and beliefs have changed over time?,2.8 Do you think concerts/parties are spreading vulgarity in our society?,"3.1 How much time do you spend consuming media (e.g., watching TV, streaming movies, reading news articles, using social media)?",3.2 Have you ever encountered media content that you believe was immoral or unethical?,3.3 Do you believe that the media has an impact on your personal morality or the moral values of society?,3.4 Do you think that media companies have a responsibility to promote moral values in their content?,3.5 Your moral views or behavior changed because of consuming media.,3.6 You have encountered media content that you felt was biased or misleading when it came to presenting moral issues
1,22,Male,Islam,CEO - Kubix Solutions,Pakistan,Yes,No,No,To some extent,To some extent,Positive,No,Yes,To some extent,No,They have become more liberal or open minded,No,4 – 6 hours,Yes,Yes,No,No,Yes
3,20,Male,Islam,Student ,Pakistan,Yes,Yes,To some extent,Yes,No,Negative,To some extent,No,Yes,Yes,They have become more liberal or open minded,Yes,4 – 6 hours,Yes,Yes,Yes,To some extent,Yes
4,20,Male,Islam,Student ,Pakistan,Yes,To some extent,No,To some extent,No,Negative,No,No,To some extent,Yes,They have become more liberal or open minded,To some extent,0 – 3 hours,Yes,Yes,Yes,Yes,Yes
5,20,Male,Islam,Student,Pakistan,To some extent,Yes,No,No,No,Indifferent/not have any reaction,No,Yes,Yes,Yes,They have become more difficult to define or understand,No,4 – 6 hours,Yes,No,Yes,To some extent,Yes
7,20,Female,Islam,student,Pakistan,Yes,Yes,To some extent,To some extent,No,Negative,No,Yes,No,Yes,They have become more difficult to define or understand,To some extent,4 – 6 hours,Yes,Yes,Yes,To some extent,Yes
8,20,Male,Islam,Student,Pakistan,Yes,To some extent,To some extent,Yes,No,Negative,To some extent,No,To some extent,Yes,They have remained relatively constant,Yes,0 – 3 hours,Yes,Yes,Yes,To some extent,Yes
9,19,Male,Islam,Business,Pakistan,Yes,Yes,To some extent,No,No,Indifferent/not have any reaction,To some extent,No,Yes,Yes,They have remained relatively constant,Yes,0 – 3 hours,Yes,Yes,Yes,Yes,To some extent
10,20,Female,Islam,Student ,Pakistan,Yes,Yes,Yes,No,No,Negative,No,Yes,Yes,Yes,They have become more strict or conservative,To some extent,4 – 6 hours,Yes,Yes,Yes,To some extent,Yes
11,20,Male,Islam,Student,Pakistan,Yes,Yes,Yes,To some extent,No,Indifferent/not have any reaction,No,No,Yes,Yes,They have become more strict or conservative,Yes,4 – 6 hours,Yes,Yes,Yes,Yes,No
13,20,Female,Islam,None ,Pakistan,To some extent,Yes,Yes,To some extent,No,Indifferent/not have any reaction,No,Yes,No,No,They have remained relatively constant,To some extent,0 – 3 hours,Yes,Yes,Yes,Yes,Yes
14,20,Female,Islam,Student,Pakistan,Yes,Yes,To some extent,To some extent,No,Indifferent/not have any reaction,No,Yes,No,No,They have become more strict or conservative,To some extent,4 – 6 hours,Yes,To some extent,To some extent,To some extent,Yes
15,20,Female,Islam,Student ,Pakistan,To some extent,Yes,No,To some extent,No,Indifferent/not have any reaction,No,Yes,No,Yes,They have become more difficult to define or understand,To some extent,4 – 6 hours,Yes,Yes,Yes,Yes,Yes
16,21,Female,Islam,,Pakistan,Yes,Yes,No,No,To some extent,Indifferent/not have any reaction,No,Yes,No,No,They have become more difficult to define or understand,To some extent,4 – 6 hours,Yes,Yes,Yes,To some extent,Yes
17,21,Female,Islam,Student,Pakistan,To some extent,Yes,No,No,No,Negative,No,Yes,No,No,They have remained relatively constant,No,7 – 10 hours,Yes,No,To some extent,No,Yes
18,21,Male,Islam,Student ,Pakistan,Yes,Yes,Yes,No,No,Negative,Yes,Yes,To some extent,No,They have become more strict or conservative,Yes,7 – 10 hours,Yes,Yes,Yes,Yes,Yes
19,20,Female,Islam,Student ,Pakistan,To some extent,Yes,To some extent,No,No,Indifferent/not have any reaction,No,Yes,No,Yes,They have become more difficult to define or understand,Yes,0 – 3 hours,Yes,Yes,Yes,No,Yes
20,20,Female,Islam,Student ,Pakistan,Yes,Yes,Yes,To some extent,No,Indifferent/not have any reaction,No,No,To some extent,Yes,They have become more difficult to define or understand,To some extent,7 – 10 hours,Yes,To some extent,To some extent,No,To some extent
21,20,Male,Islam,Student,Pakistan,Yes,No,Yes,Yes,No,Negative,No,No,Yes,Yes,They have become more strict or conservative,Yes,0 – 3 hours,Yes,Yes,Yes,To some extent,Yes
22,20,Female,Islam,Student ,Pakistan,Yes,Yes,To some extent,Yes,No,Negative,To some extent,Yes,No,Yes,They have become more difficult to define or understand,To some extent,4 – 6 hours,Yes,Yes,Yes,To some extent,Yes
23,20,Male,Islam,Student,Pakistan,To some extent,Yes,No,No,No,Positive,No,Yes,No,No,They have become more difficult to define or understand,Yes,4 – 6 hours,Yes,Yes,No,Yes,Yes
24,20,Male,Islam,Student,Pakistan,No,Yes,To some extent,No,No,Negative,To some extent,Yes,No,No,They have become more liberal or open minded,No,7 – 10 hours,Yes,To some extent,To some extent,To some extent,Yes
26,21,Female,Islam,Student,Pakistan,Yes,Yes,No,No,No,Indifferent/not have any reaction,No,Yes,No,No,They have remained relatively constant,No,0 – 3 hours,Yes,To some extent,Yes,No,Yes
27,19,Female,Islam,Student ,Pakistan,Yes,To some extent,Yes,Yes,No,Indifferent/not have any reaction,To some extent,Yes,No,Yes,They have remained relatively constant,Yes,0 – 3 hours,Yes,Yes,Yes,Yes,Yes
28,20,Female,Islam,Undergraduate student,Pakistan,Yes,Yes,Yes,No,No,Indifferent/not have any reaction,No,Yes,To some extent,Yes,They have become more difficult to define or understand,To some extent,0 – 3 hours,Yes,Yes,Yes,Yes,Yes
29,21,Female,Islam,Student ,Pakistan,To some extent,Yes,No,To some extent,No,Negative,No,Yes,No,Yes,They have become more strict or conservative,To some extent,7 – 10 hours,Yes,Yes,To some extent,Yes,Yes
30,20,Male,Islam,Student,Pakistan,Yes,Yes,No,To some extent,To some extent,Indifferent/not have any reaction,No,Yes,No,Yes,They have become more liberal or open minded,To some extent,4 – 6 hours,Yes,Yes,To some extent,Yes,Yes
31,20,Female,Islam,Student,Pakistan,Yes,Yes,Yes,To some extent,No,Negative,No,Yes,Yes,Yes,They have become more liberal or open minded,Yes,4 – 6 hours,Yes,Yes,Yes,Yes,Yes
32,22,Female,Islam,Student ,Pakistan,Yes,Yes,No,To some extent,To some extent,Negative,No,Yes,No,No,They have become more liberal or open minded,Yes,4 – 6 hours,Yes,Yes,Yes,To some extent,Yes
33,20,Male,Islam,DVM,Pakistan,Yes,Yes,Yes,Yes,No,Negative,Yes,No,No,Yes,They have become more difficult to define or understand,Yes,0 – 3 hours,No,Yes,Yes,Yes,No
34,21,Male,Islam,Student,Pakistan,Yes,Yes,Yes,No,No,Negative,Yes,No,Yes,Yes,They have remained relatively constant,Yes,7 – 10 hours,Yes,Yes,Yes,No,Yes
35,19,Male,Islam,Student ,Pakistan,Yes,To some extent,Yes,To some extent,No,Negative,Yes,No,Yes,Yes,They have remained relatively constant,Yes,4 – 6 hours,Yes,Yes,Yes,To some extent,Yes
36,20,Female,Islam,Student,Pakistan,Yes,Yes,No,Yes,No,Negative,No,Yes,No,No,They have become more difficult to define or understand,No,4 – 6 hours,Yes,To some extent,Yes,To some extent,Yes
37,20,Male,Islam,Student,Pakistan,Yes,Yes,Yes,To some extent,No,Negative,Yes,No,To some extent,Yes,They have become more liberal or open minded,Yes,4 – 6 hours,Yes,Yes,Yes,To some extent,To some extent
38,19,Male,Islam,Student ,Pakistan,Yes,Yes,Yes,No,No,Negative,No,Yes,No,Yes,They have become more liberal or open minded,To some extent,0 – 3 hours,Yes,To some extent,Yes,No,Yes
39,21,Male,Islam,Student,Pakistan,Yes,Yes,No,To some extent,No,Indifferent/not have any reaction,No,Yes,No,Yes,They have remained relatively constant,Yes,0 – 3 hours,Yes,Yes,Yes,Yes,Yes
40,20,Male,Islam,Chemical Engineer,Pakistan,Yes,Yes,Yes,No,No,Positive,No,Yes,Yes,Yes,They have remained relatively constant,No,4 – 6 hours,Yes,Yes,Yes,Yes,Yes
41,18,Male,Islam,Student ,Pakistan,Yes,Yes,Yes,Yes,No,Positive,Yes,No,No,Yes,They have become more strict or conservative,Yes,7 – 10 hours,Yes,Yes,Yes,Yes,Yes
42,51,Male,Islam,Business ,Pakistan,Yes,Yes,Yes,To some extent,No,Negative,To some extent,Yes,Yes,Yes,They have become more liberal or open minded,Yes,0 – 3 hours,Yes,To some extent,Yes,No,Yes
43,20,Female,Islam,Student,Pakistan,Yes,Yes,Yes,To some extent,No,Positive,No,Yes,No,To Some Extent,They have become more liberal or open minded,Yes,7 – 10 hours,Yes,Yes,Yes,Yes,Yes
44,20,Female,Islam,Berozgar🥲 as of now,Pakistan,Yes,Yes,No,Yes,No,Negative,No,Yes,To some extent,To Some Extent,They have remained relatively constant,Yes,4 – 6 hours,Yes,Yes,Yes,To some extent,Yes
47,18,Male,Islam,Student,Pakistan,Yes,Yes,Yes,Yes,No,Positive,Yes,Yes,To some extent,Yes,They have remained relatively constant,Yes,0 – 3 hours,Yes,To some extent,Yes,No,No
49,21,Male,Islam,Student,Pakistan,Yes,Yes,Yes,Yes,No,Negative,No,No,Yes,Yes,They have become more strict or conservative,Yes,4 – 6 hours,No,Yes,Yes,Yes,No
52,25,Male,Islam,Tax consultant ,Pakistan,No,To some extent,No,No,To some extent,Negative,To some extent,Yes,To some extent,Yes,They have become more strict or conservative,No,4 – 6 hours,Yes,Yes,Yes,Yes,Yes
53,18,Male,Islam,Student,Pakistan,Yes,Yes,To some extent,To some extent,No,Indifferent/not have any reaction,To some extent,Yes,No,To Some Extent,They have become more strict or conservative,To some extent,4 – 6 hours,Yes,To some extent,Yes,To some extent,To some extent
